b'LoRa Receiver\r\
b'LoRa Initializing OK!\r\
b"Received packet 'Sender 1:,90, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,96, S2M1:,45.10,S2M2: ,38.33,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,91, S1M1:,10.85,S1M2: ,10.81,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,97, S2M1:,41.25,S2M2: ,35.45,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,92, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,98, S2M1:,38.73,S2M2: ,33.66,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,93, S1M1:,10.89,S1M2: ,10.81,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,99, S2M1:,42.12,S2M2: ,36.00,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,94, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,100, S2M1:,44.86,S2M2: ,38.13,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,95, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,101, S2M1:,45.10,S2M2: ,38.33,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,96, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,102, S2M1:,41.03,S2M2: ,35.26,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,97, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,103, S2M1:,38.93,S2M2: ,33.83,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,98, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,104, S2M1:,42.79,S2M2: ,36.76,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,99, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,105, S2M1:,44.86,S2M2: ,38.13,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,100, S1M1:,10.69,S1M2: ,10.65,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,106, S2M1:,39.76,S2M2: ,34.19,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,101, S1M1:,10.85,S1M2: ,10.77,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,107, S2M1:,40.60,S2M2: ,35.08,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 2:,108, S2M1:,45.10,S2M2: ,38.33,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,103, S1M1:,10.73,S1M2: ,10.65,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,109, S2M1:,40.81,S2M2: ,35.08,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,104, S1M1:,10.69,S1M2: ,10.61,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,110, S2M1:,41.03,S2M2: ,35.45,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,105, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,111, S2M1:,45.10,S2M2: ,38.13,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,106, S1M1:,10.73,S1M2: ,10.65,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,112, S2M1:,39.55,S2M2: ,34.19,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,107, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,113, S2M1:,45.34,S2M2: ,38.53,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,108, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,114, S2M1:,40.18,S2M2: ,34.72,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,109, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,115, S2M1:,40.60,S2M2: ,34.90,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,110, S1M1:,10.69,S1M2: ,10.65,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,116, S2M1:,45.10,S2M2: ,38.33,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,111, S1M1:,10.69,S1M2: ,10.65,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,117, S2M1:,41.03,S2M2: ,35.45,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,112, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,118, S2M1:,38.33,S2M2: ,32.97,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,113, S1M1:,10.73,S1M2: ,10.65,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,119, S2M1:,40.18,S2M2: ,34.19,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,114, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,120, S2M1:,43.70,S2M2: ,36.76,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,115, S1M1:,10.77,S1M2: ,10.69,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,121, S2M1:,41.68,S2M2: ,35.26,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,116, S1M1:,10.77,S1M2: ,10.69,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,122, S2M1:,40.39,S2M2: ,34.36,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,117, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,123, S2M1:,39.97,S2M2: ,34.19,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,118, S1M1:,10.73,S1M2: ,10.65,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,124, S2M1:,40.39,S2M2: ,34.36,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,119, S1M1:,10.73,S1M2: ,10.65,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,125, S2M1:,41.68,S2M2: ,35.82,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,120, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.81,S1T2: ,-127.00\r\
